"Schema版本","根ID","来源根","相对路径","显示名称","版本家族","角色","文件数","TXT数","INI数","其他数","总字节","清单SHA256","内容SHA256","精确重复","代表样本","画像日期","编码摘要","UTF8文本数","UTF8BOM数","UTF16文本数","CP936候选数","二进制文本数"
"1","LFENV-ROOT-0024","D:/ChuanQi/服务端","迦楼\迦楼版本仓库\合区版本2\Mir200\Envir","迦楼/Envir","迦楼","变体","2","2","0","0","11","73CB6F44987F356DFD3E88CB04EB9AC8F2954379F451625DFE86308BCE837600","54F4CAF980B11049D9D8C148875B8830FD95532C1AE7B86FE5CCE9A4EEE1F0B8","否","否","2026-08-16","UTF8=0;UTF8BOM=0;UTF16=0;CP936候选=2;二进制文本=0","0","0","0","2","0"
"1","LFENV-ROOT-0025","D:/ChuanQi/服务端","迦楼\迦楼版本仓库\合区版本3\Mir200\Envir","迦楼/Envir","迦楼","变体","2","2","0","0","11","73CB6F44987F356DFD3E88CB04EB9AC8F2954379F451625DFE86308BCE837600","C7A545ECF222D4ADF86A5E38BEB3A5BDFAE691355F975A7563EAAB30549C54F8","否","否","2026-08-16","UTF8=0;UTF8BOM=0;UTF16=0;CP936候选=2;二进制文本=0","0","0","0","2","0"
"1","LFENV-ROOT-0026","D:/ChuanQi/服务端","迦楼\迦楼版本仓库\合区版本4\Mir200\Envir","迦楼/Envir","迦楼","变体","2","2","0","0","11","73CB6F44987F356DFD3E88CB04EB9AC8F2954379F451625DFE86308BCE837600","15B079FDBDB8270731A5A69A3834427687A7A6823784E6E821F122C0CB0F9D31","否","否","2026-08-16","UTF8=0;UTF8BOM=0;UTF16=0;CP936候选=2;二进制文本=0","0","0","0","2","0"
"1","LFENV-ROOT-0027","D:/ChuanQi/服务端","迦楼\迦楼版本仓库\合区版本5\Mir200\Envir","迦楼/Envir","迦楼","变体","2","2","0","0","11","73CB6F44987F356DFD3E88CB04EB9AC8F2954379F451625DFE86308BCE837600","58906C919837B691293C8F996F0A9E3A7458EB0191C13262B99E49CEEEB7D12D","否","否","2026-08-16","UTF8=0;UTF8BOM=0;UTF16=0;CP936候选=2;二进制文本=0","0","0","0","2","0"
"1","LFENV-ROOT-0028","D:/ChuanQi/服务端","迦楼\迦楼版本仓库\开区版本\Mir200\Envir","迦楼/Envir","迦楼","变体","4","4","0","0","9","8EDE07109DDCE325E8719E44DAB9A8493C60E18D71B263F4926FBFC4338EBAC7","7BE461AE277B3335722ED734E0EA53B4FF8C80EE169D50F65EB7645CA0EFCFCD","否","否","2026-08-16","UTF8=2;UTF8BOM=0;UTF16=0;CP936候选=2;二进制文本=0","2","0","0","2","0"
"1","LFENV-ROOT-0029","D:/ChuanQi/服务端","迦楼\脚本\版本仓库\测试版本\Mir200\Envir","迦楼/Envir","迦楼","变体","1","1","0","0","0","1FFB8EFE2DC1BCADA685223B0C0C298180F36501144AED678CFB2B4D92581538","04103852C627ECDAE93D266BF932A37C5D89893814152810365B0D56740E179E","否","否","2026-08-16","UTF8=1;UTF8BOM=0;UTF16=0;CP936候选=0;二进制文本=0","1","0","0","0","0"
"1","LFENV-ROOT-0030","D:/ChuanQi/服务端","迦楼\脚本\版本仓库\正式版本\Mir200\Envir","迦楼/Envir","迦楼","变体","838","838","0","0","109851","544BBE032AC6181D6587A6BDCA709D98331131C9FB6F3EFD881868AE4B9B30D2","D437EAEFE06358C7E9B2EBB5289D53A06600F0B696EA1E97D22AFFFFB7FA9B16","否","否","2026-08-16","UTF8=834;UTF8BOM=0;UTF16=0;CP936候选=4;二进制文本=0","834","0","0","4","0"
"1","LFENV-ROOT-0031","D:/ChuanQi/服务端","迦楼\脚本\测试通区充值\Mir200\Envir","迦楼/Envir","迦楼","覆盖包","113","113","0","0","35872","241AFC75A0EF397541FB1783500FEFEEA587B888BC04ED4A90E7FF39AA7063AF","6BDD5F91BA8EB49573491DC416569A708F372CB8F400E0F232DA5E14615B691E","否","否","2026-08-16","UTF8=108;UTF8BOM=0;UTF16=0;CP936候选=5;二进制文本=0","108","0","0","5","0"
"1","LFENV-ROOT-0032","D:/ChuanQi/服务端","迦楼\脚本\开区通区充值\Mir200\Envir","迦楼/Envir","迦楼","覆盖包","223","223","0","0","80929","22CAD5C0FBE0FB528DEC61867C621E7F67F634B26388FF7AC6AA938A64525579","C327512BC01CADE688045A0E8EBCD43127D0D434471F4B6827FF5BE0A0F73460","否","否","2026-08-16","UTF8=216;UTF8BOM=0;UTF16=0;CP936候选=7;二进制文本=0","216","0","0","7","0"
"1","LFENV-ROOT-0033","D:/ChuanQi/服务端","迦楼\脚本\通区充值\Mir200\Envir","迦楼/Envir","迦楼","覆盖包","272","272","0","0","83453","3D5ACB6838CEF26D768EF6043F3C62BCDC095D2674F6907B551D0C43ED7C10C3","8130A0D11D301EA861F0BBC93C138706BF1D14D1EFFBB02098ACDF33822D2A69","否","否","2026-08-16","UTF8=264;UTF8BOM=0;UTF16=0;CP936候选=8;二进制文本=0","264","0","0","8","0"
"1","LFENV-ROOT-0034","D:/ChuanQi/服务端","迦楼\脚本\Mir200\Envir","迦楼/Envir","迦楼","变体","1","1","0","0","4914","53B02DAC5ACE7F72D670380F9E01889856B746B5F0909D7C70B7B02008192261","FBC23D5AA2562C4AECA0BB1CBB16D8F9C98DEE0ED14FB221AE54DBFA2D0C7E50","否","否","2026-08-16","UTF8=0;UTF8BOM=0;UTF16=0;CP936候选=1;二进制文本=0","0","0","0","1","0"
"1","LFENV-ROOT-0035","D:/ChuanQi/服务端","迦楼\脚本\MirServer\Mir200\Envir","迦楼/Envir","迦楼","变体","4262","3967","288","7","14815450","DD8A18527EE7057FFBAD51739797BC04918B1EF52E785D4AB44ECB9A01625E79","C3D66A19C5ED67048A43EE24C0D5A0222DC0A2CC551302028B52CBB8492844FC","否","是","2026-08-16","UTF8=2619;UTF8BOM=0;UTF16=0;CP936候选=1636;二进制文本=0","2619","0","0","1636","0"
"1","LFENV-ROOT-0036","D:/ChuanQi/服务端","迦楼\脚本\MirServer\Mir200\Envir1","迦楼/Envir1","迦楼","变体","3331","3036","288","7","14520042","2C73A1D2FBCB99AF852B438F9B7F1365011EBDDCD051D60E95290132CA7C1C37","9F3E50B55B3D566008FCDC45ECCEDAAF70A4B7F05B52F202DD039B975F58D4B9","否","否","2026-08-16","UTF8=1339;UTF8BOM=0;UTF16=0;CP936候选=1985;二进制文本=0","1339","0","0","1985","0"
"1","LFENV-ROOT-0037","D:/ChuanQi/服务端","迦楼\MirServerJL\Mir200\Envir","迦楼/Envir","迦楼","完整版本","2532","2376","144","12","7545985","FAAEBB3E6E900718E1BFC7387A132E7A1A2EC11185F6E3EE675C288CDB9239C1","1C64F477DBE950E8D643960076684D426BF560217D9BA425AC792B5E430DBA92","否","否","2026-08-16","UTF8=1158;UTF8BOM=0;UTF16=0;CP936候选=1362;二进制文本=0","1158","0","0","1362","0"
"1","LFENV-ROOT-0038","D:/ChuanQi/服务端","聚灵\Mirserver\Mir200\Envir","聚灵/Envir","聚灵","完整版本","915","848","44","23","1424506","053CDB9E3E5A997BDB3F5E9EF5289A97FC099DC4E1E37FB947EFFDE20E91C585","35FBD75C64B8157DEDE212CF8F2EB285D24C01F248EA75D66D29C2BAFE9710E6","否","是","2026-08-16","UTF8=444;UTF8BOM=0;UTF16=0;CP936候选=448;二进制文本=0","444","0","0","448","0"
"1","LFENV-ROOT-0039","D:/ChuanQi/服务端","龙泉\MirServer龙泉\Mir200\Envir","龙泉/Envir","龙泉","完整版本","2130","1848","231","51","14382595","6F1D93A9529BCA333AECD47445EA1ABEA33D76F66FE09110C8BA936789974BC7","418121ACF8B4C3F8276659A7A80948B1BC677A7DCD309565E7B37A7D83349DBA","否","是","2026-08-16","UTF8=1200;UTF8BOM=13;UTF16=0;CP936候选=866;二进制文本=0","1200","13","0","866","0"
"1","LFENV-ROOT-0040","D:/ChuanQi/服务端","龙卫\MirServer\Mir200\Envir","龙卫/Envir","龙卫","完整版本","1899","1655","235","9","7740977","FD28AD90244587A379BAE78B6B3D437A441DDA13CF15A4B1920837C42D114182","F2C748C7F4BCDC96DB1A07B57E8C8D63E97CAEEB63D5C2AA912CCC0CEFC0D153","否","是","2026-08-16","UTF8=280;UTF8BOM=0;UTF16=0;CP936候选=1610;二进制文本=0","280","0","0","1610","0"
"1","LFENV-ROOT-0041","D:/ChuanQi/服务端","玛法\MirServer\Mir200\Envir","玛法/Envir","玛法","完整版本","1074","972","99","3","3305869","6AA1379F4D65CEC94ABAC9C4EF43892253562CAB90089B92C0A7166024E3A710","F30DA02E7BA9ADECE8B569C682FE24D0D64823ECB642349E58213CD62F2247CF","否","是","2026-08-16","UTF8=389;UTF8BOM=1;UTF16=0;CP936候选=681;二进制文本=0","389","1","0","681","0"
"1","LFENV-ROOT-0042","D:/ChuanQi/服务端","契约\MirServer\Mir200\Envir","契约/Envir","契约","完整版本","2414","2054","351","9","11368989","96CA04903605903F980DA187F4AC51BC127DB58A30FB7E52D5EFA70E131CB115","255BD29D8302927D52802FDB843F4BCBF7D03F2617AFA28A05B5DE2C069DB73C","否","是","2026-08-16","UTF8=1807;UTF8BOM=150;UTF16=0;CP936候选=448;二进制文本=0","1807","150","0","448","0"
"1","LFENV-ROOT-0043","D:/ChuanQi/服务端","秋风\MirServer\Mir200\Envir","秋风/Envir","秋风","完整版本","807","750","53","4","3052995","EC3367A102DDFC8DD22A7C2533F0A5143E7D3ED5734E143790C3D87E117410C4","B83CC9C0C79E1A645B62431B2875ECB440427BE2D09F4FA7FCC984BA319A1B6C","否","是","2026-08-16","UTF8=174;UTF8BOM=40;UTF16=0;CP936候选=589;二进制文本=0","174","40","0","589","0"
"1","LFENV-ROOT-0044","D:/ChuanQi/服务端","山河\Mirserver山河无名\开区替换\Mir200\Envir","山河/Envir","山河","完整版本","9","9","0","0","11176","C8670C97EF30A64CD72A272C1DC1C403288F4292627690A5FBDA2824BC2FAFB6","466E6C30A63939B550B99AE0BCEF5F90D60BCB786600D059922EDBD03376CC7F","否","否","2026-08-16","UTF8=7;UTF8BOM=0;UTF16=0;CP936候选=2;二进制文本=0","7","0","0","2","0"
"1","LFENV-ROOT-0045","D:/ChuanQi/服务端","山河\Mirserver山河无名\Mir200\Envir","山河/Envir","山河","完整版本","1676","1654","9","13","2733334","87A487182D08FE5B86106156F473534B3074F9812EF431F1308F92051C15F482","2602BE72C659A254A7C2242E50A1AB5B3B83FB7FA4BBF9DD2BB50B95157DFAAB","否","是","2026-08-16","UTF8=1019;UTF8BOM=3;UTF16=0;CP936候选=641;二进制文本=0","1019","3","0","641","0"
"1","LFENV-ROOT-0046","D:/ChuanQi/服务端","天楚\MirServer\Mir200\Envir","天楚/Envir","天楚","完整版本","1412","1022","378","12","12408314","6FB618DF473FE8EF935144FAAC3CFC6C9F6F672DB44FDF015A9F133E62C6C4FA","E09885436A33F998B7C400B83D86579AE84670DB51E60DBFF65AD51433A8F79A","否","是","2026-08-16","UTF8=665;UTF8BOM=0;UTF16=0;CP936候选=735;二进制文本=0","665","0","0","735","0"
"1","LFENV-ROOT-0047","D:/ChuanQi/服务端","问卷\MirServer\Mir200\Envir","问卷/Envir","问卷","完整版本","2619","2235","373","11","14853181","5D1EE8C10FC7441A0B95A77C0AC93D011B730CE0A26AB612F7B5DFAEC460C0B7","BA513DB3C34F0308C32CC7E15AB31BAEB393A38B5E862035E34DA4B4513CAE20","否","是","2026-08-16","UTF8=1131;UTF8BOM=13;UTF16=0;CP936候选=1464;二进制文本=0","1131","13","0","1464","0"
"1","LFENV-ROOT-0048","D:/ChuanQi/服务端","无尽\中国传奇.CN通区\沧元图\通区充值\Mir200\Envir","无尽/Envir","无尽","覆盖包","328","328","0","0","92388","2E1E3D323495A544A71D42A8B0AE1CF77C732F0738BEBED0E0C536F2DD3251E6","E9F5C2CC34696604F766D70E0C75A87CD80495160965CDD610FC10DD2BA2CF8C","否","否","2026-08-16","UTF8=320;UTF8BOM=0;UTF16=0;CP936候选=8;二进制文本=0","320","0","0","8","0"
"1","LFENV-ROOT-0049","D:/ChuanQi/服务端","无尽\MirServer\Mir200\Envir","无尽/Envir","无尽","完整版本","6699","5899","783","17","31977865","CFA511F7B61DFA776FE31DAAD2A5E84B5A875E4EAD60583E748EFAAE1EBCFDE6","129AA6443650676C0AC180F4DEC3A739AED684A45FA5CF68265461A5373B1421","否","是","2026-08-16","UTF8=2320;UTF8BOM=0;UTF16=0;CP936候选=4362;二进制文本=0","2320","0","0","4362","0"
"1","LFENV-ROOT-0050","D:/ChuanQi/服务端","逐鹿\Mirserver\Mir200\Envir","逐鹿/Envir","逐鹿","完整版本","2778","2526","175","77","25204715","3D2ABEF0462433ECAF35D60E5174D84E683AF14FAE3E6B08FC47A6FCF16F42F9","51383EE2875FD9E29802780CA8C6512303E9F2E4CEC3D7EBD64C266AB3B92FAC","否","是","2026-08-16","UTF8=1606;UTF8BOM=0;UTF16=0;CP936候选=1095;二进制文本=0","1606","0","0","1095","0"
"1","LFENV-ROOT-0051","D:/ChuanQi/服务端","MirServer雪国恋歌\02新区清理\Mir200\Envir","MirServer雪国恋歌/Envir","MirServer雪国恋歌","覆盖包","16","16","0","0","73","7A70E86D9AEF6AD547538DCDAC521848DE9DBC180988EC791ACE7F6F0DAD21C4","60BF8653812C664A87301331F44C06D15E0482CC7F4262A5FC64C49F3286E5B5","否","否","2026-08-16","UTF8=12;UTF8BOM=0;UTF16=0;CP936候选=4;二进制文本=0","12","0","0","4","0"
"1","LFENV-ROOT-0052","D:/ChuanQi/服务端","MirServer雪国恋歌\03删背包神器文件\Mir200\Envir","MirServer雪国恋歌/Envir","MirServer雪国恋歌","完整版本","1","1","0","0","50983","EF6140ACFF3DC370E8EF7E666830ADD68258453424664893CB873547C813446C","415F5D011CCEE75A8FBFDB54F1D486719D2B1FB6C435E34CDF303420E6B65F7A","否","否","2026-08-16","UTF8=0;UTF8BOM=0;UTF16=0;CP936候选=1;二进制文本=0","0","0","0","1","0"
"1","LFENV-ROOT-0053","D:/ChuanQi/服务端","MirServer雪国恋歌\Mir200\Envir","MirServer雪国恋歌/Envir","MirServer雪国恋歌","完整版本","3962","3761","192","9","14696375","F4DAAC323EB0127231CB4191B1647761B7C7265FF6D5E8215A65B845AE1EC465","3DB8D76CAA01E943B7AF842DC670F5D03A452D120AECE2BA9E1FFF55A60EE366","否","是","2026-08-16","UTF8=548;UTF8BOM=0;UTF16=0;CP936候选=3405;二进制文本=0","548","0","0","3405","0"
